team_a,team_b,wins_a,draws,wins_b,goals_a,goals_b
Brazil,Croatia,1,1,0,3,1
Cameroon,Mexico,0,0,1,0,1
Brazil,Mexico,1,1,0,2,0
Cameroon,Croatia,0,0,1,0,4
Brazil,Cameroon,1,0,1,4,2
Croatia,Mexico,0,0,1,1,3
Netherlands,Spain,1,0,0,5,1
Australia,Chile,0,0,1,1,3
Australia,Netherlands,0,0,1,2,3
Chile,Spain,1,0,0,2,0
Australia,Spain,0,0,1,0,3
Chile,Netherlands,0,0,1,0,2
Colombia,Greece,1,0,0,3,0
Côte d'Ivoire,Japan,1,0,0,2,1
Colombia,Côte d'Ivoire,1,0,0,2,1
Greece,Japan,0,1,0,0,0
Colombia,Japan,1,0,1,5,3
Côte d'Ivoire,Greece,0,0,1,1,2
Costa Rica,Uruguay,1,0,0,3,1
England,Italy,0,0,1,1,2
England,Uruguay,0,0,1,1,2
Costa Rica,Italy,1,0,0,1,0
Italy,Uruguay,0,0,1,0,1
Costa Rica,England,0,1,0,0,0
Ecuador,Switzerland,0,0,1,1,2
France,Honduras,1,0,0,3,0
France,Switzerland,1,0,0,5,2
Ecuador,Honduras,1,0,0,2,1
Honduras,Switzerland,0,0,1,0,3
Ecuador,France,0,1,0,0,0
Argentina,Bosnia-Herzegovina,1,0,0,2,1
Iran,Nigeria,0,1,0,0,0
Argentina,Iran,1,0,0,1,0
Bosnia-Herzegovina,Nigeria,0,0,1,0,1
Argentina,Nigeria,2,0,0,5,3
Bosnia-Herzegovina,Iran,1,0,0,3,1
Germany,Portugal,1,0,0,4,0
Ghana,USA,0,0,1,1,2
Germany,Ghana,0,1,0,2,2
Portugal,USA,0,1,0,2,2
Germany,USA,1,0,0,1,0
Ghana,Portugal,0,0,2,3,5
Algeria,Belgium,0,0,1,1,2
Russia,South Korea,0,1,0,1,1
Belgium,Russia,1,0,0,1,0
Algeria,South Korea,1,0,0,4,2
Belgium,South Korea,1,0,0,1,0
Algeria,Russia,0,1,0,1,1
Brazil,Chile,0,1,0,1,1
Colombia,Uruguay,1,0,0,2,0
Mexico,Netherlands,0,0,1,1,2
Costa Rica,Greece,0,1,0,1,1
France,Nigeria,1,0,0,2,0
Algeria,Germany,0,1,0,0,0
Argentina,Switzerland,0,1,0,0,0
Belgium,USA,0,1,0,0,0
France,Germany,0,0,1,0,1
Brazil,Colombia,1,0,0,2,1
Argentina,Belgium,1,0,0,1,0
Costa Rica,Netherlands,0,1,0,0,0
Brazil,Germany,0,0,1,1,7
Argentina,Netherlands,0,2,0,2,2
Brazil,Netherlands,0,0,1,0,3
Argentina,Germany,0,1,0,0,0
Russia,Saudi Arabia,1,0,0,5,0
Egypt,Uruguay,0,0,1,0,1
Egypt,Russia,0,0,1,1,3
Saudi Arabia,Uruguay,0,0,1,0,1
Russia,Uruguay,0,0,1,0,3
Egypt,Saudi Arabia,0,0,1,1,2
Iran,Morocco,1,0,0,1,0
Portugal,Spain,0,1,0,3,3
Morocco,Portugal,1,0,1,1,1
Iran,Spain,0,0,1,0,1
Iran,Portugal,0,1,0,1,1
Morocco,Spain,0,2,0,2,2
Australia,France,0,0,2,2,6
Denmark,Peru,1,0,0,1,0
Australia,Denmark,1,1,0,2,1
France,Peru,1,0,0,1,0
Denmark,France,0,1,1,1,2
Australia,Peru,0,0,1,0,2
Argentina,Iceland,0,1,0,1,1
Croatia,Nigeria,1,0,0,2,0
Argentina,Croatia,1,0,1,3,3
Iceland,Nigeria,0,0,1,0,2
