match_id,date,time,group,stage,home,away,home_score,away_score,played
1,2026-06-11,21:00,A,group,Mexico,South Africa,,,0
2,2026-06-12,04:00,A,group,South Korea,Czechia,,,0
3,2026-06-12,21:00,B,group,Canada,Bosnia and Herzegovina,,,0
4,2026-06-13,03:00,D,group,USA,Paraguay,,,0
5,2026-06-13,21:00,B,group,Qatar,Switzerland,,,0
6,2026-06-14,00:00,C,group,Brazil,Morocco,,,0
7,2026-06-14,03:00,C,group,Haiti,Scotland,,,0
8,2026-06-14,06:00,D,group,Australia,Turkey,,,0
9,2026-06-14,19:00,E,group,Germany,Curaçao,,,0
10,2026-06-14,22:00,F,group,Netherlands,Japan,,,0
11,2026-06-15,01:00,E,group,Ivory Coast,Ecuador,,,0
12,2026-06-15,04:00,F,group,Sweden,Tunisia,,,0
13,2026-06-15,18:00,H,group,Spain,Cape Verde,,,0
14,2026-06-15,21:00,G,group,Belgium,Egypt,,,0
15,2026-06-16,00:00,H,group,Saudi Arabia,Uruguay,,,0
16,2026-06-16,03:00,G,group,Iran,New Zealand,,,0
17,2026-06-16,21:00,I,group,France,Senegal,,,0
18,2026-06-17,00:00,I,group,Iraq,Norway,,,0
19,2026-06-17,03:00,J,group,Argentina,Algeria,,,0
20,2026-06-17,06:00,J,group,Austria,Jordan,,,0
21,2026-06-17,19:00,K,group,Portugal,DR Congo,,,0
22,2026-06-17,22:00,L,group,England,Croatia,,,0
23,2026-06-18,01:00,L,group,Ghana,Panama,,,0
24,2026-06-18,04:00,K,group,Uzbekistan,Colombia,,,0
25,2026-06-18,18:00,A,group,Czechia,South Africa,,,0
26,2026-06-18,21:00,B,group,Switzerland,Bosnia and Herzegovina,,,0
27,2026-06-19,00:00,B,group,Canada,Qatar,,,0
28,2026-06-19,03:00,A,group,Mexico,South Korea,,,0
29,2026-06-19,21:00,D,group,USA,Australia,,,0
30,2026-06-20,00:00,C,group,Scotland,Morocco,,,0
31,2026-06-20,03:00,C,group,Brazil,Haiti,,,0
32,2026-06-20,06:00,D,group,Turkey,Paraguay,,,0
33,2026-06-20,19:00,F,group,Netherlands,Sweden,,,0
34,2026-06-20,22:00,E,group,Germany,Ivory Coast,,,0
35,2026-06-21,02:00,E,group,Ecuador,Curaçao,,,0
36,2026-06-21,06:00,F,group,Tunisia,Japan,,,0
37,2026-06-21,18:00,H,group,Spain,Saudi Arabia,,,0
38,2026-06-21,21:00,G,group,Belgium,Iran,,,0
39,2026-06-22,00:00,H,group,Uruguay,Cape Verde,,,0
40,2026-06-22,03:00,G,group,New Zealand,Egypt,,,0
41,2026-06-22,19:00,J,group,Argentina,Austria,,,0
42,2026-06-22,23:00,I,group,France,Iraq,,,0
43,2026-06-23,02:00,I,group,Norway,Senegal,,,0
44,2026-06-23,05:00,J,group,Jordan,Algeria,,,0
45,2026-06-23,19:00,K,group,Portugal,Uzbekistan,,,0
46,2026-06-23,22:00,L,group,England,Ghana,,,0
47,2026-06-24,01:00,L,group,Panama,Croatia,,,0
48,2026-06-24,04:00,K,group,Colombia,DR Congo,,,0
49,2026-06-24,21:00,B,group,Switzerland,Canada,,,0
50,2026-06-24,21:00,B,group,Bosnia and Herzegovina,Qatar,,,0
51,2026-06-25,00:00,C,group,Morocco,Haiti,,,0
52,2026-06-25,00:00,C,group,Scotland,Brazil,,,0
53,2026-06-25,03:00,A,group,South Africa,South Korea,,,0
54,2026-06-25,03:00,A,group,Czechia,Mexico,,,0
55,2026-06-25,22:00,E,group,Curaçao,Ivory Coast,,,0
56,2026-06-25,22:00,E,group,Ecuador,Germany,,,0
57,2026-06-26,01:00,F,group,Tunisia,Netherlands,,,0
58,2026-06-26,01:00,F,group,Japan,Sweden,,,0
59,2026-06-26,04:00,D,group,Turkey,USA,,,0
60,2026-06-26,04:00,D,group,Paraguay,Australia,,,0
61,2026-06-26,21:00,I,group,Norway,France,,,0
62,2026-06-26,21:00,I,group,Senegal,Iraq,,,0
63,2026-06-27,02:00,H,group,Cape Verde,Saudi Arabia,,,0
64,2026-06-27,02:00,H,group,Uruguay,Spain,,,0
65,2026-06-27,05:00,G,group,New Zealand,Belgium,,,0
66,2026-06-27,05:00,G,group,Egypt,Iran,,,0
67,2026-06-27,23:00,L,group,Panama,England,,,0
68,2026-06-27,23:00,L,group,Croatia,Ghana,,,0
69,2026-06-28,01:30,K,group,Colombia,Portugal,,,0
70,2026-06-28,01:30,K,group,DR Congo,Uzbekistan,,,0
71,2026-06-28,04:00,J,group,Algeria,Austria,,,0
72,2026-06-28,04:00,J,group,Jordan,Argentina,,,0
