elo_a,elo_b,elo_diff,elo_win_prob_a,elo_draw_prob,attack_diff,defense_diff,form_diff,wc_exp_diff,lambda_a,lambda_b,lambda_diff,same_conf,attack_interaction,defense_interaction,style_diff,squad_score_diff,squad_rating_diff,ucl_players_diff,star_player_diff,coach_rating_diff,age_factor_diff,climate_adv_diff,alt_penalty,heat_penalty,days_rest_diff,travel_km_diff,jetlag_diff,fatigue_diff,weighted_form_diff,form_dominance,label,year,team_a,team_b,goals_a,goals_b
1943.0,1763.4,179.5999999999999,0.5753,0.2201,0.5800000000000001,-0.22999999999999998,0.2811,12.0,1.854,0.976,0.8780000000000001,0,2.196,0.8240000000000001,0.81,19.7,8,7,1,1.0,0.0,0.15,0.15,0.0,0,0.0,2.0,0.0417,0.2811,0.2811,0,2002,France,Senegal,0,1
1812.1,1589.9,222.19999999999982,0.6212,0.2059,0.41999999999999993,-0.20000000000000007,-0.07090000000000002,12.0,1.562,0.9,0.662,0,1.42,0.9900000000000001,0.62,-1.5,0,-1,0,0.0,-0.05,-0.18,0.15,0.0,0,0.0,-5.0,-0.1042,-0.0709,0.0709,0,2002,Uruguay,Denmark,1,2
1943.0,1812.1,130.9000000000001,0.5192,0.2364,0.3800000000000001,-0.09999999999999998,0.24169999999999997,2.0,1.62,1.136,0.4840000000000002,0,2.556,0.7200000000000001,0.4800000000000001,16.9,6,6,1,0.5,0.05,0.18,0.15,0.0,0,0.0,5.0,0.1042,0.2417,0.2417,1,2002,France,Uruguay,0,0
1589.9,1763.4,-173.5,0.2094,0.2222,-0.21999999999999997,0.07000000000000006,0.11030000000000006,-2.0,1.03,1.342,-0.31200000000000006,0,1.22,1.1330000000000002,-0.29000000000000004,4.3,2,2,0,0.5,0.0,0.15,0.15,0.0,0,0.0,2.0,0.0417,0.1103,0.1103,1,2002,Denmark,Senegal,1,1
1589.9,1943.0,-353.0999999999999,0.097,0.1623,-0.8,0.30000000000000004,-0.17079999999999995,-14.0,0.8,1.9800000000000002,-1.1800000000000002,0,1.8,0.8800000000000001,-1.1,-15.4,-6,-5,-1,-0.5,0.0,0.0,0.15,0.0,0,0.0,0.0,0.0,-0.1708,0.1708,2,2002,Denmark,France,2,0
1763.4,1812.1,-48.69999999999982,0.3169,0.2638,-0.19999999999999996,0.13,-0.039400000000000046,-10.0,1.098,1.4626,-0.3645999999999998,0,1.7324,0.927,-0.32999999999999996,-2.8,-2,-1,0,-0.5,0.05,0.03,0.15,0.0,0,0.0,3.0,0.0625,-0.0394,0.0394,1,2002,Senegal,Uruguay,3,3
1667.9,1683.8,-15.899999999999864,0.3461,0.2747,0.09999999999999998,-0.05999999999999983,0.029999999999999916,6.0,1.1627999999999998,0.9936000000000001,0.16919999999999968,0,0.9384,1.2312,0.1599999999999998,2.2,1,1,0,0.3,0.0,-0.03,0.15,0.0,-2,0.0,-6.0,-0.0107,0.03,0.03,1,2002,Paraguay,South Africa,2,2
1869.1,1513.9,355.1999999999998,0.7423,0.1616,0.78,-0.30000000000000004,-0.13100000000000006,14.0,1.9580000000000002,0.8,1.1580000000000001,0,1.78,0.8800000000000001,1.08,25.0,12,9,1,1.7,-0.05,0.0,0.15,0.0,0,0.0,2.0,0.0417,-0.131,0.131,2,2002,Spain,Slovenia,3,1
1869.1,1667.9,201.19999999999982,0.599,0.2129,0.76,-0.28,-0.16099999999999998,7.0,1.9224,0.8160000000000001,1.1064,0,1.8156,0.8640000000000001,1.04,25.0,12,9,1,1.7,-0.05,0.18,0.15,0.0,8782,0.0,6.0,-501.5321,-0.161,0.161,2,2002,Spain,Paraguay,3,1
1683.8,1513.9,169.89999999999986,0.5644,0.2234,-0.07999999999999996,0.039999999999999813,0.0,1.0,1.0120000000000002,1.14,-0.12799999999999967,0,0.92,1.254,-0.11999999999999977,-2.2,-1,-1,0,-0.3,0.0,-0.1,0.08,0.02,-8779,476.6,2.0,501.583,0.0,0.0,2,2002,South Africa,Slovenia,1,0
